Latitude,Longitude,Injury.Severity,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,State_Code,Year,Month,Day_Of_Week,Large_Jets,Small_Jets,Major_Injuries
043525N,0881041W,Non-Fatal,Textron,Unknown,Reciprocating,Personal,0.0,1.0,0.0,1.0,WI,2014.0,9.0,Monday,Other,Other,1.0
374317N,1221316W,Non-Fatal,Piper,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,4.0,CA,2014.0,9.0,Wednesday,Other,Other,0.0
062125N,1613420W,Non-Fatal,Piper,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,AK,2014.0,9.0,Wednesday,Other,Other,0.0
405658N,1154727W,Non-Fatal,Cirrus,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,NV,2014.0,9.0,Thursday,Other,Other,0.0
362720N,0084359W,Non-Fatal,Textron,2.0,Turbo Prop,Personal,0.0,0.0,0.0,1.0,TN,2014.0,9.0,Thursday,Other,Other,0.0
425354N,0783450W,Fatal,Textron,1.0,Reciprocating,Personal,2.0,0.0,0.0,2.0,NY,2014.0,9.0,Saturday,Other,Other,2.0
331240N,0108132W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,NM,2014.0,9.0,Saturday,Other,Other,1.0
405912N,0755942W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,PA,2014.0,9.0,Saturday,Other,Other,0.0
041366N,0721351W,Non-Fatal,Quicksilver Eipper Acft Inc,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,CT,2014.0,9.0,Sunday,Other,Other,0.0
291637N,0892117W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,3.0,0.0,0.0,LA,2014.0,9.0,Sunday,Other,Other,3.0
181443N,0653836W,Non-Fatal,Britten-Norman,2.0,Reciprocating,Unknown,0.0,1.0,0.0,6.0,PR,2014.0,9.0,Sunday,Other,Other,1.0
664539N,0144239W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AK,2014.0,9.0,Sunday,Other,Other,0.0
413820N,0883252W,Fatal,Textron,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IL,2014.0,9.0,Monday,Other,Other,1.0
057458N,1523040W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,AK,2014.0,9.0,Monday,Other,Other,0.0
060122N,1541649W,Non-Fatal,Bellanca,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,AK,2014.0,9.0,Tuesday,Other,Other,0.0
048427N,1144041W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,MT,2014.0,10.0,Thursday,Other,Other,0.0
275832N,0082320W,Non-Fatal,Textron,Unknown,Turbo Fan,Positioning,0.0,0.0,0.0,2.0,FL,2014.0,10.0,Saturday,Other,Other,0.0
391327N,0121011W,Non-Fatal,Boeing,2.0,Turbo Prop,Public Aircraft - Federal,0.0,0.0,0.0,3.0,CA,2014.0,10.0,Saturday,Other,Other,0.0
324124N,0009779W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,TX,2014.0,10.0,Saturday,Other,Other,0.0
415022N,0892815W,Non-Fatal,Textron,Unknown,Unknown,Personal,0.0,0.0,0.0,2.0,IL,2014.0,10.0,Saturday,Other,Other,0.0
332031N,0084319W,Non-Fatal,Socata,1.0,Turbo Prop,Personal,0.0,1.0,1.0,0.0,GA,2014.0,10.0,Sunday,Other,Other,1.0
403824N,0734643W,Non-Fatal,Embraer,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,228.0,NY,2014.0,10.0,Sunday,Other,Other,0.0
374124N,1194412W,Fatal,Marsh Aviation,2.0,Turbo Prop,Public Aircraft - Federal,1.0,0.0,0.0,0.0,CA,2014.0,10.0,Tuesday,Other,Other,1.0
453058N,1001617W,Non-Fatal,Piper,2.0,Reciprocating,Positioning,0.0,1.0,0.0,1.0,SD,2014.0,10.0,Tuesday,Other,Other,1.0
341235N,1182923W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CA,2014.0,10.0,Wednesday,Other,Other,0.0
004590N,0115417W,Non-Fatal,Maule,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,ID,2014.0,10.0,Wednesday,Other,Other,0.0
584543N,1354118W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,AK,2014.0,10.0,Thursday,Other,Other,0.0
060627N,1431213W,Non-Fatal,Piper,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,AK,2014.0,10.0,Thursday,Other,Other,0.0
044532N,1211046W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,OR,2014.0,10.0,Friday,Other,Other,2.0
362614N,0079514W,Non-Fatal,Champion,Unknown,Reciprocating,Personal,0.0,0.0,0.0,1.0,NC,2014.0,10.0,Friday,Other,Other,0.0
421323N,0834444W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MI,2014.0,10.0,Friday,Other,Other,0.0
451259N,1223524W,Non-Fatal,American Legend Aircraft Co,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,OR,2014.0,10.0,Saturday,Other,Other,0.0
039414N,0088321W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IL,2014.0,10.0,Saturday,Other,Other,0.0
421047N,0861758W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MI,2014.0,10.0,Saturday,Other,Other,0.0
039917N,1191753W,Fatal,Textron,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,NV,2014.0,10.0,Sunday,Other,Other,2.0
262436N,0080838W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,FL,2014.0,10.0,Sunday,Other,Other,1.0
042559N,0725523W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MA,2014.0,10.0,Sunday,Other,Other,0.0
414226N,0087501W,Fatal,Textron,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IL,2014.0,10.0,Monday,Other,Other,3.0
422517N,0904346W,Fatal,Piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IA,2014.0,10.0,Tuesday,Other,Other,1.0
405210N,1115538W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,UT,2014.0,10.0,Tuesday,Other,Other,0.0
003045N,0093485W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,TX,2014.0,10.0,Wednesday,Other,Other,0.0
039516N,1043832W,Non-Fatal,Textron,2.0,Turbo Fan,Business,0.0,0.0,0.0,3.0,CO,2014.0,10.0,Wednesday,Other,Other,0.0
003586N,0090144W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AR,2014.0,10.0,Wednesday,Other,Other,0.0
332754N,0894349W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MS,2014.0,10.0,Thursday,Other,Other,0.0
315911N,0834639W,Fatal,Aeronca,Unknown,Reciprocating,Personal,1.0,0.0,1.0,0.0,GA,2014.0,10.0,Thursday,Other,Other,1.0
341437N,0117110W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,3.0,0.0,CA,2014.0,10.0,Thursday,Other,Other,0.0
362439N,0931053W,Non-Fatal,Hughes Aero Corp,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,MO,2014.0,10.0,Thursday,Other,Other,1.0
204648N,0156570W,Non-Fatal,Boeing,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,3.0,HI,2014.0,10.0,Friday,Other,Other,0.0
255026N,0812311W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2014.0,10.0,Saturday,Other,Other,0.0
003500N,0114330W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,AZ,2014.0,10.0,Saturday,Other,Other,2.0
035250N,0972334W,Non-Fatal,Bae Systems,Unknown,Turbo Fan,Public Aircraft - Federal,0.0,0.0,0.0,1.0,OK,2014.0,10.0,Saturday,Other,Other,0.0
061323N,1502233W,Non-Fatal,Cub Crafters Inc,1.0,Reciprocating,Public Aircraft - Federal,0.0,0.0,0.0,2.0,AK,2014.0,10.0,Sunday,Other,Other,0.0
394045N,0835215W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,OH,2014.0,10.0,Sunday,Other,Other,0.0
341530N,1165627W,Fatal,Sonex,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,CA,2014.0,10.0,Monday,Other,Other,1.0
432136N,1153110W,Non-Fatal,Indus Aviation Inc.,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,ID,2014.0,10.0,Monday,Other,Other,0.0
344922N,0915938W,Fatal,Cgs Aviation Llc,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,AR,2014.0,10.0,Monday,Other,Other,2.0
035490N,0801531W,Non-Fatal,Cirrus Design Corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,NC,2014.0,10.0,Wednesday,Other,Other,0.0
392439N,0772257W,Fatal,Cirrus Design Corp,1.0,Reciprocating,Personal,3.0,1.0,0.0,1.0,MD,2014.0,10.0,Thursday,Other,Other,4.0
445250N,0931249W,Non-Fatal,Embraer,Unknown,Unknown,Unknown,0.0,0.0,0.0,272.0,MN,2014.0,10.0,Thursday,Other,Other,0.0
343634N,0114180W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AZ,2014.0,10.0,Thursday,Other,Other,0.0
036129N,0781945W,Non-Fatal,Textron,Unknown,Reciprocating,Positioning,0.0,0.0,0.0,1.0,NC,2014.0,10.0,Thursday,Other,Other,0.0
026911N,0814631W,Non-Fatal,North American,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2014.0,10.0,Thursday,Other,Other,0.0
331950N,1113751W,Non-Fatal,Boeing,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,4.0,AZ,2014.0,10.0,Thursday,Other,Other,0.0
004574N,0925957W,Non-Fatal,Flight Design Gmbh,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,MN,2014.0,10.0,Thursday,Other,Other,1.0
331828N,1113919W,Non-Fatal,North American,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AZ,2014.0,10.0,Thursday,Other,Other,0.0
443517N,0922453W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,WI,2014.0,10.0,Friday,Other,Other,1.0
421331N,0853254W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MI,2014.0,10.0,Friday,Other,Other,0.0
004230N,0752020W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,NY,2014.0,10.0,Saturday,Other,Other,1.0
315627N,0095810W,Non-Fatal,Stol,2.0,Reciprocating,Personal,0.0,2.0,0.0,2.0,TX,2014.0,10.0,Saturday,Other,Other,2.0
321421N,0905541W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,MS,2014.0,10.0,Saturday,Other,Other,0.0
393436N,0793922W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,WV,2014.0,10.0,Sunday,Other,Other,0.0
025552N,0972524W,Non-Fatal,Textron,Unknown,Unknown,Personal,0.0,0.0,0.0,2.0,TX,2014.0,10.0,Sunday,Other,Other,0.0
475021N,1165250W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,OR,2014.0,10.0,Sunday,Other,Other,0.0
395635N,0911140W,Non-Fatal,Piper,2.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,IL,2014.0,10.0,Sunday,Other,Other,0.0
040225N,1051332W,Fatal,Mooney,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,CO,2014.0,10.0,Monday,Other,Other,1.0
441939N,0931839W,Non-Fatal,Textron,2.0,Turbo Fan,Personal,0.0,0.0,0.0,5.0,MN,2014.0,10.0,Monday,Other,Other,0.0
433622N,0725826W,Non-Fatal,Aviat Aircraft Inc,Unknown,Reciprocating,Personal,0.0,0.0,0.0,1.0,VT,2014.0,10.0,Tuesday,Other,Other,0.0
003471N,0119457W,Fatal,Textron,1.0,Turbo Jet,Public Aircraft - Federal,1.0,0.0,0.0,0.0,CA,2014.0,10.0,Thursday,Other,Other,1.0
037399N,0972547W,Fatal,Textron,Unknown,Turbo Prop,Ferry,1.0,0.0,0.0,0.0,KS,2014.0,10.0,Thursday,Other,Other,1.0
421325N,0123352W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,OR,2014.0,11.0,Sunday,Other,Other,1.0
401948N,0742048W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,NJ,2014.0,11.0,Monday,Other,Other,0.0
034292N,1135517W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AZ,2014.0,11.0,Wednesday,Other,Other,0.0
041245N,0842949W,Fatal,Cirrus Design Corp,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,OH,2014.0,11.0,Thursday,Other,Other,3.0
455841N,0114918W,Non-Fatal,Champion,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,MT,2014.0,11.0,Friday,Other,Other,0.0
035921N,1143334W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,AZ,2014.0,11.0,Saturday,Other,Other,0.0
037132N,1212852W,Fatal,Textron,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,CA,2014.0,11.0,Saturday,Other,Other,2.0
351015N,0821049W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,SC,2014.0,11.0,Saturday,Other,Other,0.0
375155N,0802358W,Non-Fatal,Mooney,1.0,Reciprocating,Ferry,0.0,0.0,1.0,0.0,WV,2014.0,11.0,Monday,Other,Other,0.0
452238N,0781753W,Fatal,Textron,1.0,Unknown,Unknown,2.0,0.0,0.0,0.0,"y,",2014.0,11.0,Wednesday,Other,Other,2.0
035634N,1054315W,Fatal,Mooney Aircraft Corp.,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,NM,2014.0,11.0,Thursday,Other,Other,1.0
324857N,0117822W,Non-Fatal,Champion,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,CA,2014.0,11.0,Friday,Other,Other,0.0
645359N,0149102W,Non-Fatal,Helio,1.0,Reciprocating,Unknown,0.0,0.0,0.0,3.0,AK,2014.0,11.0,Saturday,Other,Other,0.0
033110N,0842218W,Non-Fatal,Dehavilland,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,GA,2014.0,11.0,Saturday,Other,Other,1.0
041199N,0723142W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,CT,2014.0,11.0,Saturday,Other,Other,1.0
037846N,1064940W,Fatal,Mooney,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,CO,2014.0,11.0,Saturday,Other,Other,2.0
385015N,0092032W,Non-Fatal,Textron,2.0,Reciprocating,Business,0.0,0.0,3.0,0.0,MO,2014.0,11.0,Monday,Other,Other,0.0
414646N,0874233W,Fatal,Aero Commander,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,IL,2014.0,11.0,Tuesday,Other,Other,1.0
291915N,0982815W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,TX,2014.0,11.0,Thursday,Other,Other,1.0
274554N,0823737W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2014.0,11.0,Thursday,Other,Other,0.0
040436N,1234914W,Fatal,Piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,CA,2014.0,11.0,Friday,Other,Other,1.0
029381N,0953929W,Non-Fatal,Embraer,Unknown,Turbo Fan,Positioning,0.0,0.0,0.0,2.0,TX,2014.0,11.0,Friday,Other,Other,0.0
302045N,0971224W,Fatal,Aero Commander,2.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,TX,2014.0,11.0,Sunday,Other,Other,1.0
033500N,0116300W,Non-Fatal,Embraer,2.0,Turbo Fan,Personal,0.0,0.0,0.0,5.0,CA,2014.0,11.0,Sunday,Other,Other,0.0
351016N,0120311W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CA,2014.0,11.0,Sunday,Other,Other,0.0
324438N,0963152W,Non-Fatal,Bellanca,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TX,2014.0,11.0,Sunday,Other,Other,0.0
304650N,0831647W,Non-Fatal,Boeing,2.0,Turbo Fan,Unknown,0.0,12.0,1.0,146.0,GA,2014.0,11.0,Monday,Other,Other,12.0
321328N,0804151W,Non-Fatal,Socata,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,SC,2014.0,11.0,Wednesday,Other,Other,0.0
605235N,0015257W,Non-Fatal,Piper,1.0,Reciprocating,Unknown,0.0,1.0,1.0,0.0,AK,2014.0,11.0,Thursday,Other,Other,1.0
045128N,1041332W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,MT,2014.0,11.0,Friday,Other,Other,1.0
384820N,0104422W,Non-Fatal,American Champion Aircraft,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CO,2014.0,11.0,Friday,Other,Other,0.0
325138N,0081342W,Non-Fatal,Cirrus Design Corp.,1.0,Reciprocating,Personal,0.0,3.0,1.0,0.0,SC,2014.0,11.0,Friday,Other,Other,3.0
041574N,0086225W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,MI,2014.0,11.0,Friday,Other,Other,0.0
414122N,0725153W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CT,2014.0,11.0,Saturday,Other,Other,0.0
038567N,0092413W,Fatal,Bellanca,1.0,Reciprocating,Personal,1.0,0.0,3.0,0.0,MO,2014.0,11.0,Sunday,Other,Other,1.0
344914N,0087238W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,AL,2014.0,11.0,Sunday,Other,Other,0.0
032587N,0965011W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,TX,2014.0,11.0,Sunday,Other,Other,0.0
035712N,0891424W,Fatal,Piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,TN,2014.0,12.0,Tuesday,Other,Other,1.0
332739N,1114342W,Non-Fatal,Nanchang,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,AZ,2014.0,12.0,Tuesday,Other,Other,2.0
273054N,0815250W,Non-Fatal,Piper,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,FL,2014.0,12.0,Tuesday,Other,Other,0.0
261814N,0009893W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,TX,2014.0,12.0,Tuesday,Other,Other,0.0
273920N,0080255W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2014.0,12.0,Thursday,Other,Other,0.0
034340N,0114210W,Non-Fatal,Airbus,2.0,Turbo Jet,Personal,0.0,0.0,0.0,1.0,AZ,2014.0,12.0,Saturday,Other,Other,0.0
043824N,0892024W,Non-Fatal,Cubcrafters Inc,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,WI,2014.0,12.0,Saturday,Other,Other,2.0
415659N,0086220W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MI,2014.0,12.0,Saturday,Other,Other,0.0
004778N,1221653W,Non-Fatal,Taylorcraft,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,WA,2014.0,12.0,Sunday,Other,Other,0.0
455541N,0894351W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,1.0,0.0,1.0,WI,2014.0,12.0,Sunday,Other,Other,1.0
391049N,0771050W,Fatal,Embraer,2.0,Turbo Jet,Personal,3.0,0.0,0.0,0.0,MD,2014.0,12.0,Monday,Other,Other,3.0
033538N,0945315W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TX,2014.0,12.0,Monday,Other,Other,0.0
423156N,0107565W,Non-Fatal,Textron,1.0,Reciprocating,Business,0.0,2.0,0.0,1.0,WY,2014.0,12.0,Tuesday,Other,Other,2.0
395040N,0894040W,Non-Fatal,Textron,1.0,Reciprocating,Public Aircraft - Local,0.0,0.0,0.0,2.0,IL,2014.0,12.0,Wednesday,Other,Other,0.0
372146N,1215545W,Non-Fatal,Boeing,2.0,Turbo Fan,Unknown,0.0,0.0,1.0,80.0,CA,2014.0,12.0,Thursday,Other,Other,0.0
040437N,0114143W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,UT,2014.0,12.0,Friday,Other,Other,0.0
037135N,0931557W,Non-Fatal,New Piper Aircraft Inc,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,MO,2014.0,12.0,Friday,Other,Other,2.0
032260N,0934930W,Non-Fatal,Dassault,Unknown,Turbo Fan,Unknown,0.0,0.0,0.0,2.0,LA,2014.0,12.0,Friday,Other,Other,0.0
391031N,0076406W,Non-Fatal,Boeing,Unknown,Turbo Fan,Unknown,0.0,0.0,0.0,145.0,MD,2014.0,12.0,Saturday,Other,Other,0.0
038370N,0773733W,Fatal,Titan,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VA,2014.0,12.0,Sunday,Other,Other,1.0
293719N,0953925W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TX,2014.0,12.0,Monday,Other,Other,0.0
047363N,1141237W,Fatal,Piper,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,MT,2014.0,12.0,Tuesday,Other,Other,1.0
323654N,0963233W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,TX,2014.0,12.0,Friday,Other,Other,1.0
038036N,0122300W,Non-Fatal,Ferdon,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CA,2014.0,12.0,Saturday,Other,Other,0.0
643044N,1652643W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AK,2014.0,12.0,Saturday,Other,Other,0.0
334525N,1171318W,Non-Fatal,Farthing James W Ii,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,CA,2014.0,12.0,Sunday,Other,Other,0.0
382418N,1204731W,Fatal,Textron,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,CA,2014.0,12.0,Wednesday,Other,Other,2.0
425812N,0822510W,Fatal,Piper,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,MI,2014.0,12.0,Wednesday,Other,Other,1.0
361057N,0865312W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,TN,2014.0,12.0,Friday,Other,Other,0.0
393630N,0077028W,Non-Fatal,Aerotek,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,MD,2014.0,12.0,Saturday,Other,Other,0.0
355442N,0079374W,Non-Fatal,Textron,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,NC,2014.0,12.0,Sunday,Other,Other,0.0
413114N,0825219W,Fatal,Piper,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,OH,2014.0,12.0,Monday,Other,Other,1.0
393543N,1044934W,Fatal,Textron,2.0,Reciprocating,Positioning,1.0,0.0,0.0,0.0,CO,2014.0,12.0,Tuesday,Other,Other,1.0
331714N,1043221W,Non-Fatal,Textron,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,1.0,NM,2014.0,12.0,Tuesday,Other,Other,0.0
342759N,1051750W,Fatal,Piper,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,NM,2014.0,12.0,Tuesday,Other,Other,2.0
322624N,1141648W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,AZ,2015.0,1.0,Thursday,Other,Other,2.0
294339N,0085133W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,FL,2015.0,1.0,Thursday,Other,Other,0.0
003721N,0088108W,Fatal,Piper,2.0,Reciprocating,Personal,4.0,0.0,1.0,0.0,KY,2015.0,1.0,Friday,Other,Other,4.0
351414N,1203827W,Non-Fatal,Waco Classic Aircraft,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,CA,2015.0,1.0,Saturday,Other,Other,0.0
243322N,0814619W,Non-Fatal,Textron,1.0,Reciprocating,Unknown,0.0,4.0,0.0,2.0,FL,2015.0,1.0,Saturday,Other,Other,4.0
383442N,0122268W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CA,2015.0,1.0,Sunday,Other,Other,0.0
364315N,0119493W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,CA,2015.0,1.0,Sunday,Other,Other,0.0
344836N,0111480W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,AZ,2015.0,1.0,Sunday,Other,Other,0.0
040647N,0851433W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IN,2015.0,1.0,Sunday,Other,Other,0.0
462113N,0872347W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MI,2015.0,1.0,Monday,Other,Other,0.0
354312N,0081824W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,3.0,1.0,0.0,NC,2015.0,1.0,Tuesday,Other,Other,3.0
030473N,0098360W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,TX,2015.0,1.0,Tuesday,Other,Other,0.0
044927N,0702853W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,ME,2015.0,1.0,Wednesday,Other,Other,0.0
038140N,0091519W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,MO,2015.0,1.0,Thursday,Other,Other,0.0
404635N,1122933W,Fatal,Cirrus Design Corp,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,UT,2015.0,1.0,Friday,Other,Other,1.0
382237N,1204738W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,CA,2015.0,1.0,Saturday,Other,Other,0.0
395929N,1043536W,Fatal,Piper,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,CO,2015.0,1.0,Sunday,Other,Other,1.0
002941N,0081171W,Non-Fatal,Piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,FL,2015.0,1.0,Monday,Other,Other,0.0
029223N,0805343W,Fatal,Textron,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,FL,2015.0,1.0,Wednesday,Other,Other,1.0
374448N,0099583W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,KS,2015.0,1.0,Wednesday,Other,Other,2.0
353656N,0106530W,Non-Fatal,Textron,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,NM,2015.0,1.0,Thursday,Other,Other,0.0
035547N,0120349W,Non-Fatal,Cubcrafters Inc,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,CA,2015.0,1.0,Friday,Other,Other,0.0
