Investigation.Type,Accident.Number,Event.Date,Location,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Day_Of_Week,State_Code,new_lats,new_longs,Year,Month,Large_Jets,Small_Jets,Major_Injuries
Accident,WPR13CA246,2013-05-14,"Friday Harbor, WA",483119N,0123127W,FHR,Friday Harbor,Non-Fatal,Substantial,Textron,U206G,No,1.0,Reciprocating,135,Unknown,Island Air,0.0,0.0,0.0,3.0,VMC,Tuesday,WA,48.52194444444444,-12.524166666666668,2013.0,5.0,Other,Textron,0.0
Accident,WPR13CA231,2013-05-15,"Carson City, NV",039813N,0119522W,CXP,Carson City,Non-Fatal,Substantial,Textron,182P,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,3.0,VMC,Wednesday,NV,4.636944444444444,-12.589444444444444,2013.0,5.0,Other,Textron,0.0
Accident,WPR13LA230,2013-05-15,"Pine Bluffs, WY",004191N,0104108W,82V,Pine Bluffs Municipal Airport,Non-Fatal,Substantial,Textron,T188C,No,1.0,Reciprocating,091,Business,Circle S Aviation LLC,0.0,0.0,0.0,1.0,VMC,Wednesday,WY,0.7086111111111111,-10.685555555555556,2013.0,5.0,Other,Textron,0.0
Accident,WPR13CA232,2013-05-16,"San Carlos, CA",373043N,1221458W,SQL,San Carlos,Non-Fatal,Substantial,Textron,195A,No,1.0,Reciprocating,091,Personal,James Grass,0.0,0.0,0.0,2.0,VMC,Thursday,CA,37.511944444444445,-122.24944444444445,2013.0,5.0,Other,Textron,0.0
Accident,WPR13FA234,2013-05-16,"Floriston, CA",392758N,0120252W,RNO,RENO/TAHOE INTL,Fatal,Destroyed,Textron,421C,No,2.0,Reciprocating,091,Personal,Unknown,1.0,0.0,0.0,0.0,VMC,Thursday,CA,39.46611111111111,-12.047777777777778,2013.0,5.0,Other,Textron,1.0
Incident,CEN13IA285,2013-05-16,"Dallas, TX",325738N,0964945W,,,Non-Fatal,Unknown,Cirrus,SR22,No,1.0,Reciprocating,091,Personal,Pilot,0.0,0.0,0.0,1.0,IMC,Thursday,TX,32.96055555555556,-96.82916666666667,2013.0,5.0,Other,Other,0.0
Accident,CEN13CA284,2013-05-17,"Cambridge, MN",453325N,0931549W,KCBG,Cambridge Regional Airport,Non-Fatal,Substantial,Stinson,108-1,No,1.0,Reciprocating,091,Personal,Danial Stewart,0.0,0.0,0.0,2.0,VMC,Friday,MN,45.55694444444444,-93.26361111111112,2013.0,5.0,Other,Other,0.0
Accident,DCA13FA094,2013-05-18,"Newark, NJ",404133N,0074107W,EWR,Newark Liberty International,Non-Fatal,Substantial,Bombardier,DHC8,No,2.0,Turbo Prop,121,Unknown,Piedmont Airlines,0.0,0.0,0.0,34.0,VMC,Saturday,NJ,40.692499999999995,-7.685277777777778,2013.0,5.0,Other,Bombardier,0.0
Accident,CEN13LA287,2013-05-18,"Oskaloosa, IA",041122N,0922957W,,,Non-Fatal,Substantial,Piper,PA-28-161,No,1.0,Reciprocating,091,Personal,Unknown,0.0,3.0,0.0,0.0,VMC,Saturday,IA,4.189444444444445,-92.49916666666667,2013.0,5.0,Other,Other,3.0
Accident,ERA13LA248,2013-05-18,"Geneva, FL",284358N,0081443W,FD92,Southerland Strip Airport,Non-Fatal,Unknown,Textron,172N,No,1.0,Reciprocating,091,Personal,SHAW DANIEL C,0.0,0.0,1.0,1.0,VMC,Saturday,FL,28.732777777777777,-8.245277777777776,2013.0,5.0,Other,Textron,0.0
Accident,WPR13LA247,2013-05-18,"Wenatchee, WA",472334N,1201154W,EAT,Pangborn Memorial Airport,Non-Fatal,Substantial,Textron,210-5A,No,1.0,Reciprocating,091,Personal,HANNA DAVID B,0.0,0.0,0.0,5.0,VMC,Saturday,WA,47.39277777777778,-120.19833333333334,2013.0,5.0,Other,Textron,0.0
Accident,WPR13FA236,2013-05-19,"Auburn, CA",385721N,0121414W,AUN,Auburn Municipal,Fatal,Substantial,Textron,170B,No,1.0,Reciprocating,091,Personal,BRUCE A RHYMES,2.0,0.0,0.0,0.0,VMC,Sunday,CA,38.95583333333334,-12.237222222222222,2013.0,5.0,Other,Textron,2.0
Accident,WPR13LA237,2013-05-19,"Chandler, AZ",033168N,1114840W,P19,Stellar Airpark,Non-Fatal,Substantial,Piper,PA-32R-301T,No,1.0,Reciprocating,091,Personal,HUISH DALE A,0.0,0.0,0.0,4.0,VMC,Sunday,AZ,3.5355555555555553,-111.8111111111111,2013.0,5.0,Other,Other,0.0
Accident,ANC13LA048,2013-05-19,"Juneau, AK",582435N,0134519W,,,Non-Fatal,Substantial,Piper,PA-16,No,1.0,Reciprocating,091,Personal,HOLMES ROBERT A,0.0,1.0,0.0,1.0,VMC,Sunday,AK,58.40972222222222,-13.755277777777778,2013.0,5.0,Other,Other,1.0
Accident,ANC13LA049,2013-05-19,"Big Lake, AK",612324N,1495020W,Z40,Goose Bay,Non-Fatal,Substantial,Maule,M-6-235,No,1.0,Reciprocating,091,Personal,Vaught Timothy R,0.0,0.0,0.0,1.0,VMC,Sunday,AK,61.39,-149.8388888888889,2013.0,5.0,Other,Other,0.0
Accident,WPR13CA240,2013-05-19,"Tucson, AZ",032832N,1111029W,RYN,Ryan Field,Non-Fatal,Substantial,Globe,GC-1B,No,1.0,Reciprocating,091,Personal,HENDERSON Sharleen,0.0,0.0,0.0,1.0,VMC,Sunday,AZ,3.4755555555555557,-111.17472222222223,2013.0,5.0,Other,Other,0.0
Incident,ENG13IA027,2013-05-19,"Atlanta, GA",333827N,0842540W,ATL,HARTSFIELD - JACKSON ATLANTA I,Non-Fatal,Minor,Boeing,747,No,4.0,Turbo Fan,129,Unknown,China Airlines Ltd.,0.0,0.0,0.0,3.0,VMC,Sunday,GA,33.64083333333333,-84.42777777777778,2013.0,5.0,Boeing,Other,0.0
Accident,CEN13CA292,2013-05-22,"Erie, CO",040037N,0105253W,KEIK,Erie Municipal,Non-Fatal,Substantial,Textron,162,No,1.0,Reciprocating,091,Personal,"Vector Air, LLC",0.0,0.0,0.0,1.0,VMC,Wednesday,CO,4.010277777777778,-10.881388888888889,2013.0,5.0,Other,Textron,0.0
Accident,ERA13LA252,2013-05-23,"Atlanta, GA",335219N,0084184W,PDK,DeKalb-Peachtree Airport,Non-Fatal,Substantial,Textron,A36,No,1.0,Reciprocating,091,Personal,BONANZA FIVE INC,0.0,0.0,0.0,5.0,VMC,Thursday,GA,33.871944444444445,-8.706666666666667,2013.0,5.0,Other,Textron,0.0
Accident,WPR13CA241,2013-05-23,"Truckee, CA",392859N,1201542W,,Private,Non-Fatal,Substantial,Textron,172M,No,1.0,Reciprocating,091,Personal,BELKNAP RONALD L,0.0,0.0,0.0,1.0,VMC,Thursday,CA,39.48305555555556,-120.26166666666667,2013.0,5.0,Other,Textron,0.0
Accident,CEN13LA305,2013-05-23,"Beaumont, TX",030413N,0941254W,BMT,Beaumont Municipal Airport,Non-Fatal,Substantial,Stinson,108-3,No,1.0,Reciprocating,091,Business,AIRCAPITAL NEVADA INC,0.0,1.0,0.0,0.0,VMC,Thursday,TX,3.070277777777778,-94.215,2013.0,5.0,Other,Other,1.0
Accident,WPR13LA251,2013-05-23,"Truckee, CA",391946N,1201422W,TRK,Truckee-Tahoe Airport,Non-Fatal,Substantial,American,AA-1,No,1.0,Reciprocating,091,Ferry,SILVA LAWRENCE JR,0.0,0.0,1.0,0.0,VMC,Thursday,CA,39.32944444444445,-120.23944444444444,2013.0,5.0,Other,Other,0.0
Accident,CEN13CA306,2013-05-23,"Danville, IN",394448N,0862831W,2R2,Hendricks County Airport,Non-Fatal,Substantial,Textron,170B,No,1.0,Reciprocating,091,Personal,David Needham,0.0,0.0,0.0,1.0,VMC,Thursday,IN,39.74666666666667,-86.47527777777778,2013.0,5.0,Other,Textron,0.0
Accident,ERA13FA253,2013-05-24,"Johnstown, NY",043225N,0074312W,,,Fatal,Destroyed,Piper,PA-34-200T,No,2.0,Reciprocating,091,Personal,CAMPBELL ASSOCIATES AT CURTISS AERO INC,3.0,0.0,0.0,0.0,IMC,Friday,NY,4.540277777777778,-7.72,2013.0,5.0,Other,Other,3.0
Accident,WPR13CA242,2013-05-25,"Alpine, WY",043113N,0111220W,46U,Alpine Airport,Non-Fatal,Substantial,Textron,182R,No,1.0,Reciprocating,091,Personal,RONALD B LINCH,0.0,0.0,0.0,1.0,VMC,Saturday,WY,4.520277777777777,-11.205555555555556,2013.0,5.0,Other,Textron,0.0
Accident,ERA13CA255,2013-05-25,"York, SC",035133N,0081156W,01SC,York Airport,Non-Fatal,Substantial,Flightstar,FLIGHTSTAR II,No,1.0,Reciprocating,091,Personal,Unknown,0.0,2.0,0.0,0.0,VMC,Saturday,SC,3.859166666666667,-8.19888888888889,2013.0,5.0,Other,Other,2.0
Accident,CEN13CA319,2013-05-25,"Emporia, KS",381950N,0961123W,EMP,Emporia Municipal Airport,Non-Fatal,Substantial,Textron,TR182,No,1.0,Reciprocating,091,Personal,MOXLEY EQUIPMENT CO INC,0.0,0.0,0.0,1.0,VMC,Saturday,KS,38.330555555555556,-96.18972222222223,2013.0,5.0,Other,Textron,0.0
Accident,WPR13CA249,2013-05-26,"Kernville, CA",354325N,0118257W,L05,Kern Valley Airport,Non-Fatal,Substantial,Textron,V35B,No,1.0,Reciprocating,091,Personal,7435B BONANZA PARTNERSHIP,0.0,0.0,0.0,2.0,VMC,Sunday,CA,35.72361111111111,-12.3825,2013.0,5.0,Other,Textron,0.0
Accident,ERA13FA256,2013-05-27,"Macon, GA",323950N,0833611W,MCN,Middle Georgia Regional,Fatal,Destroyed,Piper,PA-32R-300,No,1.0,Reciprocating,091,Personal,FLEBO AIR LLC,2.0,0.0,0.0,0.0,VMC,Monday,GA,32.663888888888884,-83.60305555555556,2013.0,5.0,Other,Other,2.0
Accident,WPR13CA245,2013-05-28,"Page, AZ",365357N,1112726W,KPGA,Page Municipal Airport,Non-Fatal,Substantial,Piper,PA-31-350,No,2.0,Reciprocating,091,Personal,SEFTON DONALD H,0.0,0.0,0.0,5.0,VMC,Tuesday,AZ,36.899166666666666,-111.45722222222223,2013.0,5.0,Other,Other,0.0
Accident,WPR13FA244,2013-05-28,"Mountainaire, AZ",035458N,0111404W,FLG,Flagstaff Pulliam Airport,Fatal,Destroyed,Textron,A36,No,1.0,Reciprocating,091,Personal,Unknown,2.0,0.0,0.0,0.0,VMC,Tuesday,AZ,3.916111111111111,-11.234444444444444,2013.0,5.0,Other,Textron,2.0
Accident,CEN13LA308,2013-05-30,"Elyria, OH",412039N,0821040W,KLPR,Lorain County Regional Airport,Non-Fatal,Substantial,Evektor,SPORTSTAR PLUS,No,1.0,Reciprocating,091,Personal,ON FILE,0.0,0.0,0.0,1.0,VMC,Thursday,OH,41.344166666666666,-82.17777777777778,2013.0,5.0,Other,Other,0.0
Accident,ERA13LA262,2013-05-30,"Brevard, NC",351321N,0824336W,NC16,Brevard Airport,Non-Fatal,Substantial,Textron,182P,No,1.0,Reciprocating,091,Personal,Richard Secord,0.0,1.0,0.0,0.0,VMC,Thursday,NC,35.222500000000004,-82.72666666666667,2013.0,5.0,Other,Textron,1.0
Accident,ANC13CA053,2013-05-30,"King Salmon, AK",583317N,1554623W,5Z9,Lake Brooks Seaplane,Non-Fatal,Substantial,Textron,U206G,No,1.0,Reciprocating,135,Unknown,Steller Air,0.0,0.0,0.0,3.0,VMC,Thursday,AK,58.55472222222222,-155.77305555555557,2013.0,5.0,Other,Textron,0.0
Accident,WPR13CA252,2013-05-31,"Eatonville, WA",465218N,1221526W,K2W3,Swanson Airport,Non-Fatal,Substantial,Textron,172A,No,1.0,Reciprocating,091,Personal,REID MATTHEW J,0.0,2.0,0.0,0.0,VMC,Friday,WA,46.87166666666667,-122.25722222222223,2013.0,5.0,Other,Textron,2.0
Accident,WPR13CA255,2013-05-31,"San Martin, CA",037432N,1213529W,E16,South County Airport,Non-Fatal,Substantial,Bellanca,7ECA,No,1.0,Reciprocating,091,Personal,Amelia Reid Aviation LLC,0.0,0.0,0.0,1.0,VMC,Friday,CA,4.242222222222222,-121.59138888888889,2013.0,5.0,Other,Other,0.0
Accident,ERA13CA265,2013-05-31,"Concord, NH",431210N,0071308W,CON,Concord Municipal Airport,Non-Fatal,Substantial,Textron,180,No,1.0,Reciprocating,091,Personal,COMFORT KENNETH W,0.0,0.0,0.0,1.0,VMC,Friday,NH,43.20277777777778,-7.218888888888889,2013.0,5.0,Other,Textron,0.0
Accident,ANC13CA052,2013-05-31,"Fairbanks, AK",645124N,1485118W,PVT,Minto Lakes,Non-Fatal,Substantial,Textron,U206A,No,1.0,Reciprocating,091,Personal,Marina Air Inc,0.0,0.0,0.0,1.0,VMC,Friday,AK,64.85666666666665,-148.855,2013.0,5.0,Other,Textron,0.0
Accident,ERA13LA264,2013-06-01,"Williamson, SC",034356N,0822030W,SC82,Oakhill Airpark,Non-Fatal,Substantial,Globe,GC-1B,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,2.0,0.0,VMC,Saturday,SC,3.7322222222222226,-82.34166666666667,2013.0,6.0,Other,Other,0.0
Accident,WPR13CA261,2013-06-01,"La Grande, OR",461724N,0118024W,LGD,La Grande/Union County Airport,Non-Fatal,Substantial,Textron,A23-24,No,1.0,Reciprocating,091,Personal,HUNT RUSSEL AND ANITA,0.0,0.0,0.0,3.0,VMC,Saturday,OR,46.29,-12.34,2013.0,6.0,Other,Textron,0.0
Accident,ERA13LA268,2013-06-01,"Fredericksburg, PA",402634N,0762629W,9N7,Farmers Pride,Non-Fatal,Substantial,Maule,M-4-220C,No,1.0,Reciprocating,091,Personal,Unknown,0.0,1.0,0.0,1.0,VMC,Saturday,PA,40.44277777777778,-76.4413888888889,2013.0,6.0,Other,Other,1.0
Accident,WPR13CA257,2013-06-02,"Bridgeport, CA",381531N,1191313W,O57,Bryant Field Airport,Non-Fatal,Substantial,Textron,182P,No,1.0,Reciprocating,091,Personal,Robert H. Stroub,0.0,3.0,1.0,0.0,VMC,Sunday,CA,38.25861111111111,-119.22027777777778,2013.0,6.0,Other,Textron,3.0
Accident,ERA13CA278,2013-06-03,"West Palm Beach, FL",263847N,0801739W,FD38,Wellington Aero Club Airport,Non-Fatal,Substantial,Piper,PA-46-500TP,No,1.0,Turbo Prop,091,Personal,Unknown,0.0,0.0,0.0,3.0,VMC,Monday,FL,26.64638888888889,-80.29416666666667,2013.0,6.0,Other,Other,0.0
Accident,WPR13LA262,2013-06-04,"Burlington, WA",482829N,1222529W,BVS,Skagit Regional Airport,Non-Fatal,Substantial,Piper,PA-28-140,No,1.0,Reciprocating,091,Personal,MORRISSEY WILLIAM T TRUSTEE,0.0,0.0,0.0,1.0,VMC,Tuesday,WA,48.474722222222226,-122.42472222222223,2013.0,6.0,Other,Other,0.0
Accident,ERA13LA269,2013-06-04,"Elkton, KY",364810N,0871035W,5KY4,Standard Field,Non-Fatal,Substantial,Stinson,108,No,1.0,Reciprocating,091,Personal,Club Voyager LLC,0.0,2.0,0.0,0.0,VMC,Tuesday,KY,36.80277777777778,-87.1763888888889,2013.0,6.0,Other,Other,2.0
Accident,ANC13FA054,2013-06-04,"Petersburg, AK",056475N,0132345W,,,Fatal,Substantial,De Havilland,BEAVER DHC-2 MK.1,No,1.0,Reciprocating,135,Unknown,Pacific Wings LLC,1.0,4.0,2.0,0.0,VMC,Tuesday,AK,6.0874999999999995,-13.395833333333332,2013.0,6.0,Other,Other,5.0
Accident,CEN13CA317,2013-06-04,"Lebanon, IN",040026N,0862625W,6I4,Boone County Airport,Non-Fatal,Substantial,Stinson,108,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Tuesday,IN,4.0072222222222225,-86.44027777777778,2013.0,6.0,Other,Other,0.0
Accident,ERA13LA270,2013-06-05,"Cuttyhunk, MA",412432N,0070562W,NONE,The Bluffs,Fatal,Substantial,Maule,BEE DEE M-4-210,No,1.0,Reciprocating,091,Personal,Unknown,1.0,0.0,0.0,0.0,VMC,Wednesday,MA,41.40888888888889,-7.100555555555555,2013.0,6.0,Other,Other,1.0
Accident,ERA13CA271,2013-06-05,"Concord, NH",431210N,0071308W,CON,Concord Municipal Airport,Non-Fatal,Substantial,Flight Design,CTLS,No,1.0,Reciprocating,091,Personal,James B. McGee,0.0,0.0,0.0,2.0,VMC,Wednesday,NH,43.20277777777778,-7.218888888888889,2013.0,6.0,Other,Other,0.0
Accident,ANC13CA109,2013-06-05,"Glennallen, AK",006264N,1453147W,,,Non-Fatal,Substantial,Piper,PA 16,No,1.0,Reciprocating,091,Personal,JASON E. LOBO,0.0,0.0,0.0,1.0,VMC,Wednesday,AK,1.051111111111111,-145.52972222222223,2013.0,6.0,Other,Other,0.0
Accident,CEN13FA326,2013-06-07,"Baker, LA",303435N,0091813W,BTR,"BATON ROUGE METROPOLITAN, RYAN",Fatal,Destroyed,Textron,B200GT,No,2.0,Turbo Prop,091,Personal,Osage Air LLC,1.0,0.0,0.0,0.0,VMC,Friday,LA,30.57638888888889,-9.303611111111111,2013.0,6.0,Other,Textron,1.0
Accident,WPR13LA267,2013-06-07,"Chiloquin, OR",423445N,1215244W,2S7,Chiloquin State Airport,Non-Fatal,Substantial,Textron,T210L,No,1.0,Reciprocating,091,Personal,Unknown,0.0,2.0,0.0,0.0,VMC,Friday,OR,42.57916666666667,-121.87888888888888,2013.0,6.0,Other,Textron,2.0
Accident,CEN13CA345,2013-06-07,"Minot, ND",482456N,1012128W,,,Non-Fatal,Substantial,Textron,140,No,1.0,Reciprocating,091,Personal,Unknown,0.0,1.0,0.0,0.0,VMC,Friday,ND,48.41555555555556,-101.35777777777777,2013.0,6.0,Other,Textron,1.0
Accident,WPR13CA278,2013-06-07,"Nervino, CA",039494N,0120216W,O02,Nervino Airport,Non-Fatal,Substantial,Textron,180,No,1.0,Reciprocating,091,Personal,QUINN KEVIN EUGENE,0.0,0.0,0.0,1.0,VMC,Friday,CA,4.592777777777777,-12.037777777777778,2013.0,6.0,Other,Textron,0.0
Accident,ERA13FA275,2013-06-08,"Boynton Beach, FL",263040N,0802415W,,,Fatal,Destroyed,Textron,340A,No,2.0,Reciprocating,091,Personal,"Paul S. Soule Enterprises, Inc.",1.0,0.0,0.0,0.0,IMC,Saturday,FL,26.511111111111113,-80.40416666666667,2013.0,6.0,Other,Textron,1.0
Accident,CEN13FA327,2013-06-08,"Mosca, CO",037511N,0105267W,,,Fatal,Substantial,Piper,PA-28-140,No,1.0,Reciprocating,091,Personal,Unknown,2.0,0.0,1.0,0.0,VMC,Saturday,CO,4.253055555555555,-10.885277777777778,2013.0,6.0,Other,Other,2.0
Incident,CEN13IA349,2013-06-08,"Boulder, CO",395530N,1051332W,,,Non-Fatal,Minor,Ultramagic Sa,T210,No,1.0,Unknown,091,Business,FAIR WINDS INC,0.0,2.0,0.0,10.0,VMC,Saturday,CO,39.925,-105.22555555555556,2013.0,6.0,Other,Other,2.0
Accident,CEN13CA334,2013-06-09,"Peyton, CO",385645N,1043411W,FLY,Meadow Lake Airport,Non-Fatal,Substantial,Textron,C24R,No,1.0,Reciprocating,091,Personal,Pilot,0.0,0.0,0.0,2.0,VMC,Sunday,CO,38.94583333333333,-104.56972222222223,2013.0,6.0,Other,Textron,0.0
Accident,CEN13CA335,2013-06-09,"Ann Arbor, MI",421321N,0834448W,KARB,Ann Arbor Municipal,Non-Fatal,Substantial,Textron,172S,No,1.0,Reciprocating,091,Personal,"BTG Aviation, LLC",0.0,0.0,0.0,4.0,VMC,Sunday,MI,42.222500000000004,-83.74666666666667,2013.0,6.0,Other,Textron,0.0
Accident,ERA13LA276,2013-06-09,"Plainville, CT",414113N,0725131W,4B8,Robertson Field,Non-Fatal,Substantial,Textron,170,No,1.0,Reciprocating,091,Personal,SUTTMEIER ROBERT,0.0,0.0,0.0,1.0,VMC,Sunday,CT,41.68694444444444,-72.8586111111111,2013.0,6.0,Other,Textron,0.0
Accident,CEN13LA332,2013-06-10,"Oklahoma City, OK",035323N,0973849W,PWA,Wiley Post Airport,Non-Fatal,Substantial,Piper,PA-46-310P,No,1.0,Reciprocating,091,Personal,Chris Brown,0.0,0.0,0.0,1.0,VMC,Monday,OK,3.8897222222222223,-97.64694444444446,2013.0,6.0,Other,Other,0.0
Accident,CEN13FA338,2013-06-11,"Pampa, TX",355346N,1005957W,,,Fatal,Substantial,Pipistrel,ALPHA TRAINER,No,1.0,Reciprocating,091,Positioning,Unknown,1.0,0.0,1.0,0.0,VMC,Tuesday,TX,35.89611111111111,-100.99916666666667,2013.0,6.0,Other,Other,1.0
Accident,WPR13CA268,2013-06-11,"Truckee, CA",039197N,0120813W,TRK,Truckee-Tahoe Airport,Non-Fatal,Substantial,Cirrus,SR22,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Tuesday,CA,4.543611111111111,-12.136944444444444,2013.0,6.0,Other,Other,0.0
Accident,ERA13LA279,2013-06-12,"Louisville, KY",381357N,0854010W,LOU,Bowman Field,Non-Fatal,Substantial,Textron,172M,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,4.0,0.0,VMC,Wednesday,KY,38.2325,-85.66944444444445,2013.0,6.0,Other,Textron,0.0
Accident,ANC13CA055,2013-06-12,"Juneau, AK",582117N,1343434W,PAJN,Juneau International Airport,Non-Fatal,Substantial,Piper,PA-18A 150,No,1.0,Reciprocating,091,Personal,ALLIGOOD ALLEN K,0.0,0.0,0.0,2.0,VMC,Wednesday,AK,58.35472222222222,-134.57611111111112,2013.0,6.0,Other,Other,0.0
Accident,ERA13LA285,2013-06-13,"Oxford, NC",362142N,0783145W,HNZ,Henderson-Oxford Airport,Non-Fatal,Substantial,Textron,A23,No,1.0,Reciprocating,091,Personal,WEHE ALBERT H,0.0,2.0,0.0,0.0,VMC,Thursday,NC,36.361666666666665,-78.52916666666667,2013.0,6.0,Other,Textron,2.0
Accident,DCA13CA106,2013-06-13,"Nashville, TN",036717N,0864025W,KBNA,Nashville International,Non-Fatal,Substantial,Boeing,MD-88,No,2.0,Turbo Fan,121,Unknown,DELTA AIR LINES INC,0.0,0.0,0.0,156.0,VMC,Thursday,TN,4.121388888888889,-86.67361111111111,2013.0,6.0,Boeing,Other,0.0
Accident,ERA13CA286,2013-06-13,"Orangeburg, SC",332316N,0805440W,1DS,Dry Swamp Airport,Non-Fatal,Substantial,Luscombe,8A,No,1.0,Reciprocating,091,Personal,John P. Subbe,0.0,0.0,0.0,1.0,VMC,Thursday,SC,33.38777777777778,-80.91111111111111,2013.0,6.0,Other,Other,0.0
Accident,WPR13CA271,2013-06-14,"Salmon, ID",044584N,1144358W,12ID,Flying B Ranch Landing Strip,Non-Fatal,Substantial,Textron,T210N,No,1.0,Reciprocating,135,Unknown,Scott Patrick,0.0,0.0,0.0,4.0,VMC,Friday,ID,4.773333333333333,-114.73277777777778,2013.0,6.0,Other,Textron,0.0
Accident,CEN13FA351,2013-06-15,"La Pointe, WI",464714N,0904558W,4R5,MAJOR GILBERT FIELD,Fatal,Destroyed,Piper,PA-24-260,No,1.0,Reciprocating,091,Personal,8815 PAPA LLC,2.0,0.0,0.0,0.0,VMC,Saturday,WI,46.78722222222222,-90.76611111111112,2013.0,6.0,Other,Other,2.0
Accident,CEN13FA352,2013-06-15,"Victoria, TX",285040N,0965417W,KVCT,Victoria Regional,Non-Fatal,Substantial,Aero Commander,685,No,2.0,Reciprocating,091,Business,Daniel Nghiem,0.0,0.0,3.0,0.0,VMC,Saturday,TX,28.844444444444445,-96.90472222222223,2013.0,6.0,Other,Other,0.0
Accident,WPR13LA272,2013-06-16,"Needles, CA",344649N,1143524W,,,Non-Fatal,Substantial,Textron,175,No,1.0,Reciprocating,091,Personal,Registration Pending,0.0,2.0,2.0,0.0,VMC,Sunday,CA,34.780277777777776,-114.58999999999999,2013.0,6.0,Other,Textron,2.0
Accident,WPR13CA273,2013-06-16,"Coolin, ID",483115N,1164949W,66S,Cavanaugh Bay Airport,Non-Fatal,Substantial,Piper,PA-28-140,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,1.0,VMC,Sunday,ID,48.520833333333336,-116.83027777777778,2013.0,6.0,Other,Other,0.0
Accident,WPR13LA274,2013-06-16,"Fresno, CA",364621N,0119434W,FAT,Fresno Yosemite International,Non-Fatal,Substantial,Textron,T210L,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,2.0,VMC,Sunday,CA,36.7725,-12.57611111111111,2013.0,6.0,Other,Textron,0.0
Accident,CEN13LA579,2013-06-16,"St Paul, MN",044565N,0093337W,STP,St. Paul Downtown,Non-Fatal,Substantial,Textron,58P,No,2.0,Reciprocating,091,Personal,Unknown,0.0,1.0,0.0,2.0,IMC,Sunday,MN,4.768055555555556,-9.56027777777778,2013.0,6.0,Other,Textron,1.0
Accident,WPR13LA275,2013-06-17,"Waihee-Waiehu, HI",205355N,1562549W,,,Non-Fatal,Substantial,Piper,PA-28-181,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,4.0,VMC,Monday,HI,20.898611111111112,-156.43027777777777,2013.0,6.0,Other,Other,0.0
Accident,CEN13LA354,2013-06-17,"Carrizo Springs, TX",283120N,0994925W,KCZT,Dimmit County Airport,Non-Fatal,Substantial,Textron,152,No,1.0,Reciprocating,091,Positioning,"Alpha Tango Flying Service, Inc.",0.0,0.0,0.0,2.0,VMC,Monday,TX,28.522222222222222,-99.8236111111111,2013.0,6.0,Other,Textron,0.0
Accident,CEN13LA358,2013-06-18,"Durango, CO",003795N,1074513W,DRO,Durango - la Plata County,Non-Fatal,Substantial,Piper,PA-28R-180,No,1.0,Reciprocating,091,Personal,Charles D and Barbara K Hass and Kristen E Collins,0.0,0.0,0.0,2.0,VMC,Tuesday,CO,0.6430555555555556,-107.75361111111111,2013.0,6.0,Other,Other,0.0
Accident,ANC13CA056,2013-06-19,"Dillingham, AK",059418N,0158222W,PADL,Dillingham Airport,Non-Fatal,Substantial,Cubcrafters,CC11-100,No,1.0,Reciprocating,091,Personal,Walla Walla University,0.0,0.0,0.0,2.0,VMC,Wednesday,AK,6.571666666666666,-16.372777777777777,2013.0,6.0,Other,Other,0.0
Accident,ERA13LA299,2013-06-19,"Cleveland, GA",343325N,0834229W,0GE5,Mountain Air Park,Non-Fatal,Minor,Aerotek,PITTS S-2B,No,1.0,Reciprocating,091,Personal,Unknown,0.0,0.0,0.0,3.0,VMC,Wednesday,GA,34.55694444444444,-83.70805555555556,2013.0,6.0,Other,Other,0.0
Accident,CEN13LA365,2013-06-19,"Lansing, MI",424724N,0843524W,LAN,Capital Region International A,Non-Fatal,Substantial,Piper,PA-32-301T,No,1.0,Reciprocating,091,Personal,Pilot,0.0,0.0,0.0,1.0,VMC,Wednesday,MI,42.79,-84.58999999999999,2013.0,6.0,Other,Other,0.0
Accident,ERA13LA311,2013-06-19,"Burlington, VT",442819N,0073911W,BTV,Burlington International Airpo,Non-Fatal,Substantial,Textron,172M,No,1.0,Reciprocating,091,Personal,Altitude Addiction LLC,0.0,0.0,0.0,2.0,VMC,Wednesday,VT,44.471944444444446,-7.6530555555555555,2013.0,6.0,Other,Textron,0.0
Accident,CEN13LA361,2013-06-20,"Dayton, OH",395415N,0084136W,KDAY,James M Cox Dayton Intn'l,Non-Fatal,Substantial,Piper,PA-30,No,2.0,Reciprocating,091,Personal,Horizon Aviation LLC,0.0,0.0,0.0,2.0,VMC,Thursday,OH,39.90416666666667,-8.693333333333333,2013.0,6.0,Other,Other,0.0
